date,open,high,low,close,adjusted_close,volume,ret,log_ret,ret_lag1,ma_5,ma_21,mom_5,mom_21,rsi_14,vol_21,range,range_21,dow,month,is_month_end,is_quarter_end,dow_0,dow_1,dow_2,dow_3,dow_4,ret_x_vol21,y_next_ret,y_next_up
2022-01-31,650.7000122070312,677.5499877929688,648.030029296875,677.2000122070312,655.4176635742188,1357400,0.04997139516221849,0.048762921095693024,0.016245050082453805,630.7688110351562,694.6351638067337,0.03907747515069948,-0.05645769502596942,38.57101687664269,0.026148436709214327,0.043591196048397306,0.038422687484870065,0,1,1,0,1,0,0,0,0,0.0013066738636704092,0.006320143954902546,1
2022-02-01,682.5499877929688,683.7100219726562,666.27001953125,681.47998046875,659.5599975585938,945000,0.006320143954902546,0.006300255599291482,0.04997139516221849,637.139111328125,689.3507922944568,0.03518993863637121,-0.04321572567822318,39.207872966425356,0.02632097781587547,0.025591364297173187,0.03907908582893034,1,2,0,0,0,1,0,0,0,0.00016635236883012937,0.007733038466418041,1
2022-02-02,687.9500122070312,691.239990234375,674.0900268554688,686.75,664.660400390625,713600,0.007733038466418041,0.007703291780879695,0.006320143954902546,643.6216430664062,684.247081938244,0.03268808243300181,-0.02862515904654861,37.00038223902128,0.026453867624042986,0.024972644162950492,0.039408420929610576,2,2,0,0,0,0,1,0,0,0.00020456877592225524,-0.05943949730555098,0
2022-02-03,659.0900268554688,664.6699829101562,644.469970703125,645.9299926757812,625.1533203125,1212000,-0.05943949730555098,-0.061279301959869414,0.007733038466418041,645.8031372070312,678.1054774693081,-0.03197540504965268,-0.0780883784546701,32.605722407993625,0.0286757502027582,0.03127275778502279,0.03904341388493881,3,2,0,0,0,0,0,1,0,-0.001704472176911499,0.010651390986898601,1
2022-02-04,648.0499877929688,661.2100219726562,643.2999877929688,652.8099975585938,631.8120727539062,863100,0.010651390986898601,0.010595064538917676,-0.05943949730555098,647.3206909179687,673.8258085704986,-0.023958168465261998,-0.06235103387583685,30.42851764024499,0.027824066375351064,0.027435293954853935,0.0389768502352816,4,2,0,0,0,0,0,0,1,0.00029636500980928277,-0.004258565021147964,0
2022-02-07,654.1500244140625,661.4099731445312,648.5499877929688,650.030029296875,629.1214599609375,520300,-0.004258565021147964,-0.004267658535231256,0.010651390986898601,642.0614501953125,668.613786969866,-0.020153818969257165,-0.0590659776668776,34.3118787166986,0.027008341479847653,0.01978367886399479,0.03780043340702466,0,2,0,0,1,0,0,0,0,-0.00011501677830529886,0.005292055533015372,1
2022-02-08,636.8499755859375,655.3599853515625,635.5999755859375,653.469970703125,632.4508056640625,745300,0.005292055533015372,0.005278101814718994,-0.004258565021147964,636.6396118164063,663.8838384719122,-0.006579556274220244,-0.047347187845693584,38.361659477101135,0.027141046492671832,0.030238588843437584,0.03799588416126213,1,2,0,0,0,1,0,0,0,0.00014363192526337142,0.04116492509125114,1
2022-02-09,670.7899780273438,682.22998046875,663.8800048828125,680.3699951171875,658.485595703125,842000,0.04116492509125114,0.04034020656667625,0.005292055533015372,635.4046508789063,661.7269490559896,0.03632479679255196,-0.004898324539281185,43.90674542157559,0.028023311422198157,0.02697058323798786,0.03761948780314311,2,2,0,0,0,0,1,0,0,0.0011535775155035895,-0.03452524269072954,0
2022-02-10,654.5900268554688,677.6199951171875,653.0,656.8800048828125,635.751220703125,961200,-0.03452524269072954,-0.035135322137613834,0.04116492509125114,637.5242309570312,658.395763578869,-0.002781086847859382,-0.03439351242580024,41.62059180037243,0.028824430579802184,0.03748020176315111,0.03739738502584834,3,2,0,0,0,0,0,1,0,-0.0009951704611897564,-0.04360018694050816,0
2022-02-11,657.5399780273438,660.3200073242188,625.25,628.239990234375,608.0323486328125,1116300,-0.04360018694050816,-0.04457923886066695,-0.03452524269072954,632.7682861328125,653.145025344122,-0.03909162017454226,-0.06906992315763416,38.02898399864066,0.029546155580760996,0.05582262808697568,0.03912846495090345,4,2,0,0,0,0,0,0,1,-0.0012882179066945178,-0.0005252960198161016,0
2022-02-14,626.1500244140625,634.9500122070312,620.0,627.9099731445312,607.7129516601562,890200,-0.0005252960198161016,-0.0005254340361053877,-0.04360018694050816,628.4865844726562,648.4362705775669,-0.033053422818770994,-0.06280234583598798,45.04935578020697,0.0295115152047136,0.02380916508167976,0.03704797723753272,0,2,0,0,1,0,0,0,0,-1.550228147577842e-05,0.04538882040951231,1
2022-02-15,647.47998046875,658.3499755859375,642.3099975585938,656.4099731445312,635.2963256835938,821400,0.04538882040951231,0.04438889316021388,-0.0005252960198161016,629.0556884765625,644.3750523158482,0.009920643468219303,-0.014089196345553723,50.67748405848054,0.031145280612075762,0.02443591457104811,0.037032836942889315,1,2,0,0,0,1,0,0,0,0.0014136475483053723,0.011349645656828278,1
2022-02-16,651.0,666.0,644.6699829101562,663.8599853515625,642.5067138671875,610000,0.011349645656828278,0.011285721650394542,0.04538882040951231,625.859912109375,642.0075480143229,0.026598287309546054,0.0007775077635900907,56.59679302733911,0.03034598405289691,0.032130294882207644,0.03677654462707035,2,2,0,0,0,0,1,0,0,0.00034441616610814157,-0.020230401744874782,0
2022-02-17,659.3099975585938,662.219970703125,650.0,650.4299926757812,629.508544921875,1020600,-0.020230401744874782,-0.02043783878005634,0.011349645656828278,624.611376953125,639.7773728143601,0.007840343851305498,-0.016050626872458507,51.216326824209254,0.03026294397926799,0.018787526468227102,0.03493392262599543,3,2,0,0,0,0,0,1,0,-0.0006122315146832309,-0.0039971424881528606,0
2022-02-18,652.1199951171875,657.77001953125,640.989990234375,647.8300170898438,626.9923095703125,899400,-0.0039971424881528606,-0.004005152413856017,-0.020230401744874782,628.403369140625,637.0752650669643,-0.0022454678628509583,-0.01582694549535213,42.46188299725455,0.03009485466443735,0.025901901508444423,0.03456512875924912,4,2,0,0,0,0,0,0,1,-0.00012029342225400782,-0.011669636691320484,0
